behavior,behavior_description,behavior_source,start_date,end_date,vertical,vertical_evidence,vertical_source,horizontal,horizontal_evidence,horizontal_source,oblique,oblique_evidence,oblique_source,domains,domains_evidence,domains_source,anth_effects,anth_source,group_id,behavior_id
George Reserve Indigo buntings song themes,"“A bunting song theme is a series of pairs of “song figures"" or “elements"". Males recorded hundreds of times typically used only one song theme each…At the George Reserve, we documented continuity for 54 different song themes, each representing a behavioral lineage that was matched by two or more buntings"", songs “also change at the population level when immigrant males introduce new songs into the area and its local song pool, when resident territorial males switch from one song to another, and when no males with a particular song return the next year…The immigration of new birds and the failure of males to return to the area the next year were responsible for most of the changes we observed in the song themes...reproductive success does not vary among males with different song themes"" (Payne 1996)",payne1996,1977,1994,suspected unknown,suspected unknown,suspected unknown,yes,"usually yearlings copy songs from adult males ""though males of all ages were sometimes transmitters and copiers""",payne1996,yes,"usually yearlings copy songs from adult males ""though males of all ages were sometimes transmitters and copiers""",payne1996,vocal communication; mating,,payne1996,not searched,not searched,700025,29
Grande Terre New Caledonian crows narrow-type Padanus tools,"one of three distinct tool shapes from Padanus leaves; crows tear and fold leaves of the Padanus plant and use them to extract prey. ""We only found narrow tools in the southeast of Grande Terre and only wide tools on Mare´. Therefore, all three designs co-occurred in a region only in the southeast of Grande Terre."" Researchers analyzed presence of raw materials, precipitation, and altitude and determined they did not contribute significantly to geographical distribution of tool types (Gray & Hunt 2003 p. 871)",huntgray2003,not searched,not searched,yes,"juveniles observe parents tool manufacture and use; ""young crows frequently get fed a large part of the meat that they had just watched a parent extract. The parental feeding might help explain why juveniles persist with unrewarded tool manufacture and use for many months until they begin extracting their own prey...Discarded tools and other artefactual material such as counterparts might not only enable juveniles to obtain early experience of tool use and manufacture, and influence their emerging preference of tool type, but also provide a way of transferring cultural information about specific tool designs. Juvenile crows might use tools and counterparts on pandanus leaves as templates for their own tool manufacture. In this way the wide, narrow and stepped tool designs could be faithfully transmitted between generations even in the absence of imitation. Template matching is a well-described process in song birds"". A possible sensitive learning phase in juveniles might ""reduce the possibility of horizontal transmission"" (Holzhaider et al. 2010)",holzhaider2010,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,holzhaider2010,not searched,not searched,700026,30
Grande Terre New Caledonian crows stepped Padanus tools,"one of three distinct tool shapes from Padanus leaves; crows tear and fold leaves of the Padanus plant and use them to extract prey. ""Stepped tools are different from wide and narrow tools in that their width is different at each end of the tool. Consequently, birds must appropriately vary the distance in from the leaf edge that they place their bill when making a rip. At no stage in the process of making a tool is one of the other designs or varieties of stepped tool made then modified. That is, there is no recapitulation in pandanus tool manufacture...On Grande Terre, stepped tools accounted for 5% or more of counterparts at 19 of the 20 sites"". Researchers analyzed presence of raw materials, precipitation, and altitude and determined they did not contribute significantly to geographical distribution of tool types (Hunt & Gray 2003, p. 871)",huntgray2003,not searched,not searched,yes,"juveniles observe parents tool manufacture and use; ""young crows frequently get fed a large part of the meat that they had just watched a parent extract. The parental feeding might help explain why juveniles persist with unrewarded tool manufacture and use for many months until they begin extracting their own prey...Discarded tools and other artefactual material such as counterparts might not only enable juveniles to obtain early experience of tool use and manufacture, and influence their emerging preference of tool type, but also provide a way of transferring cultural information about specific tool designs. Juvenile crows might use tools and counterparts on pandanus leaves as templates for their own tool manufacture. In this way the wide, narrow and stepped tool designs could be faithfully transmitted between generations even in the absence of imitation. Template matching is a well-described process in song birds"". A possible sensitive learning phase in juveniles might ""reduce the possibility of horizontal transmission"" (Holzhaider et al. 2010)",holzhaider2010,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,holzhaider2010,not searched,not searched,700026,31
Grande Terre New Caledonian crows alarm calls,"wak-wak' alarm call in response to recorded crow alarm call from one site ""While environmental and methodological covariates were also significant predictors of call structure in some cases (Table S1), as expected given the known effects of habitat structure and social context on bird calls (Wilczynski & Ryan, 1999; Slabbekoorn & Smith, 2002; Catchpole & Slater, 2008), our analyses clearly demonstrated the existence of substantial residual variation, a significant proportion of which was explained by geographic region. This variation could at least partly be attributable to social learning processes, as exemplified by our captive subject (see above)....Our results did not produce the outcome that would have most facilitated future work, namely sharply defined cultural (‘dialect’) boundaries. We used ‘alarm’ calls because of the facility with which these can be sampled, allowing for efficient spatial replication. However, the immediate function of alarm calls means that: (1) they may be less variable than other calls (e.g. alarm calls are conserved among small passerines; Marler, 1957); or (2) they may vary in more complex ways than our study could distinguish (e.g. relating to individual recognition and group structure; Blumstein & Daniel, 2004). Dialect discontinuities may exist in other vocalizations, or in the repertoires of individual crows or social groups (see Enggist-Dueblin & Pfister, 2002)"" (Bluff et al. 2010)",bluff2010,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; antipredation,,bluff2010,not searched,not searched,700026,32
Gulf of Alaska sperm whales longline depradation,"Whales prey on sablefish on longline in Gulf of Alaska, first observed anecdotally in 1970s (Schakner et al. 2014)",schakner2014,1970,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"increase in depradation over observed period 1998 to 2010 fits 'Wave of Advance' model of social transmission. ""While adult male sperm whales found on high latitude feeding grounds are generally thought to forage solitarily [19], our results also show that groups are more likely to be present during depredation events than solitary animals...Aggregating around prey resources may facilitate social learning and may reveal an underlying male sociality"" (Schakner et al. 2014)",schakner2014,suspected unknown,suspected unknown,suspected unknown,foraging; social,,schakner2014,depradation behavior caused by and interacts with human fishing activity,schakner2014,700027,33
Gulf of Maine humpback whales lobtail feeding,innovation in feeding behavior that is modification of bubble-feeding (bubble production to envelop a prey fish school) where the tail is used to strike the water prior to producing bubbles and lunge feeding; rapidly transmitted in response to crash of herring and abundance of sand lance as available prey (Allen et al. 2013),allen2013,not searched,not searched,no,"social network analysis indicated horizontal transmission of behavior through social learning, no effect of vertical transmission (ie through having a mother who practiced lobtail feeding) and small effect of presence of relevant prey, sand lances: ""results are inconsistent with a significant role for genetic factors or vertical social learning in the acquisition of lobtail feeding, showing that horizontal cultural transmission is largely responsible for the spread of the behavior."" (Allen et al. 2013)",allen2013,yes,"social network analysis indicated horizontal transmission of behavior through social learning, no effect of vertical transmission (ie through having a mother who practiced lobtail feeding) and small effect of presence of relevant prey, sand lances: ""results are inconsistent with a significant role for genetic factors or vertical social learning in the acquisition of lobtail feeding, showing that horizontal cultural transmission is largely responsible for the spread of the behavior."" (Allen et al. 2013)",allen2013,suspected unknown,suspected unknown,suspected unknown,foraging,,lunczboesch2014,not searched,not searched,700028,34
Hainan caves leafnosed bats echolocation call frequency,"measure of resting frequency (RF) showed variation with geographic distance and longitude, with high variation between colonies; not well correlated with sex or body size (Jiang et al. 2010)",jiang2010,not searched,not searched,suspected unknown,"""In our study, geographical variation in RF was corrected with geographical distance (Fig. 4) and showed longitudinal pattern (Fig. 3), suggesting that resting frequency are subject to cultural drift. Given that the resting frequency of CF rhinolophid and hipposiderid bats is determined in part by vertical transmission from mother to offspring (Matsumura 1981; Jones & Ransome 1993), and several studies have shown that the difference in RF between regions is maintained by mother–offspring transmission of CF followed by cultural drift (Yoshino et al. 2008; Chen et al. 2009), we suspect that H. larvatus…may be subject to maternal transmission hypothesis of CF. But this will, of course, require direct evidence on the relationship between resting frequency and genetic structure in future studies”",jiang2010,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,,jiang2010,not searched,not searched,700029,35
Hato Masaguaral wrens WAY calling,"apart from male-female duets, which are main territorial call, individuals produce WAY calls which are a complex vocalization that probably is used for close-range communication. ""calls which are sex- and family-specific, so vocalizations potentially provide cues indicating both sex and relatedness...benefits might come from an ability to recognize the sex and family origins of individuals during contests with other groups. Males might benefit especially in contests with neighbouring groups over territorial boundaries. Dispersing females, on the other hand, could benefit during contests for vacant breeding positions, which often involve competing teams of female relatives (Zack & Rabenold 1989). Both of these situations involve frequent WAY calling, and playback experiments (J. J. Price, unpublished data) show that stripe-backed wrens can recognize the family origins of individual calls"" ; “Male WAY call repertoires exhibit a pattern of variation more similar to the calls of killer whales than to the songs of other songbirds. This resemblance might be due in part to similar patterns of dispersal and vocal learning. Groups of stripe-backed wrens consist of a patrilineal family from which far fewer males than females disperse (Rabenold 1990; Zack 1990). Many males in fact remain in their natal groups for their entire lives (Wiley & Rabenold 1984). Killer whales live in matrilineal family groups from which no dispersal appears to take place at all (Bigg et al. 1990). Both stripe-backed wrens and killer whales have repertoires of highly stereotyped calls that are accurately learned from older relatives within these stable social groups. Consequently, both species exhibit group-specific call repertoires that reflect the genealogical relationships of individuals."" (Price 1998)",price1998,1992,1996,yes,"""Comparisons with the repertoires of individuals' fathers and mothers showed that males shared calls only with fathers, while females shared calls only with mothers (table 3). Male and female call repertoires were therefore separately transmitted along sex-specific lines within families...If they were inherited, an individual's vocalizations should have resembled equally those of both paternal and maternal relatives. In fact, males shared entire repertoires of calls with male patrilineal relatives and shared no more calls with maternal relatives than with unrelated neighbours…Stripe-backed wrens probably provide the first recognized example of a bird that regularly learns repertoires of vocalizations from older relatives. Furthermore, these wrens probably provide the first case in which individuals of each sex have been shown to copy preferentially the vocalizations of relatives of the same sex."" (Price 1998)",price1998,suspected unknown,suspected unknown,suspected unknown,yes,"""Comparisons with the repertoires of individuals' fathers and mothers showed that males shared calls only with fathers, while females shared calls only with mothers (table 3). Male and female call repertoires were therefore separately transmitted along sex-specific lines within families...If they were inherited, an individual's vocalizations should have resembled equally those of both paternal and maternal relatives. In fact, males shared entire repertoires of calls with male patrilineal relatives and shared no more calls with maternal relatives than with unrelated neighbours…Stripe-backed wrens probably provide the first recognized example of a bird that regularly learns repertoires of vocalizations from older relatives. Furthermore, these wrens probably provide the first case in which individuals of each sex have been shown to copy preferentially the vocalizations of relatives of the same sex."" (Price 1998)",price1998,vocal communication; social,,price1998,not searched,not searched,700030,36
Hluhluwe Park dialect forest weavers song dialect,"“The forest weaver is unique among dueting bird species in that its song shows a clear area-specific song-type structure and that each individual produces just one specific song-type which is produced by no other individual except its pair mate...The forest weaver Ploceus bicolor sclateri in Natal, South Africa, produces different song types in different geographic areas, one song type per area. Song types of the forest weaver qualify as song dialects...A given song type is restricted to a given geographical area, it is shared by all individuals in that area, it remained stable over our total study time of 21 years, surpassing the life-span of the singing individuals, and it is a socially learned traditive (protocultural; Count, 1973) trait...The Hluhluwe Park type has two nearly identical Introduction elements with no main pitch difference (‘zero’), and three Main Melody elements, the second of which is of higher pitch than the first, the third one of lower pitch than the second. Pitch transitions in the Main Melody thus are ‘updown’. We recorded this song type at 14 sites between S 28±04:100 and S 28±10:360, and between E 31±57:640 and E 32±02:130. With the exception of the Maphumulo site (see below), this song type covers nearly the total Hluhluwe Game Reserve where forest weavers occur."" (Seibt et al. 2002)",seibt2002,not searched,not searched,yes,"""Within its first 24 months the individual learns a song from its parents and keeps that song constant throughout life."" (Seibt et al. 2002)",seibt2002,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,"rather than as a mating display by males, both male and female partners sing as a duetting pair",seibt2002,"""As described in section I, the Hluhluwe Park and the Hluhluwe River dialects are separated just by the river which sometimes dries up completely. Although the birds come down to the banks on both sides, they were extremely reluctant to cross the river and did so for just a few minutes. The road separating Charter’s Creek and South Maputaland dialects is a human artifact. Why these structures function as boundaries is unknown; similarly mysterious dialect boundaries are known from other bird species as well (see e.g. Sick, 1939; Kroodsma, 1974). But massive landscape fragmentation likely caused severe fragmentation of the once continuous forest weaver population. Thereby, we think, an originally mixed distribution of pair-specific and family-specific traditive song types turned into locally segregated vocal dialects. We take this as an example of a human impact on an animal protoculture.” (Seibt et al. 2002)",seibt2002,700031,37
Hluhluwe River dialect forest weavers song dialect,"“The forest weaver is unique among dueting bird species in that its song shows a clear area-specific song-type structure and that each individual produces just one specific song-type which is produced by no other individual except its pair mate...The forest weaver Ploceus bicolor sclateri in Natal, South Africa, produces different song types in different geographic areas, one song type per area. Song types of the forest weaver qualify as song dialects...A given song type is restricted to a given geographical area, it is shared by all individuals in that area, it remained stable over our total study time of 21 years, surpassing the life-span of the singing individuals, and it is a socially learned traditive (protocultural; Count, 1973) trait...On the southern bank of Hluhluwe River near Hluhluwe dam, where the River intersects the eastern boundary of the reserve, we found a song type with only one Introduction element and four Main Melody elements, up-down-up.” (Seibt et al. 2002)",seibt2002,not searched,not searched,yes,"""Within its first 24 months the individual learns a song from its parents and keeps that song constant throughout life."" (Seibt et al. 2002)",seibt2002,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,"rather than as a mating display by males, both male and female partners sing as a duetting pair",seibt2002,"""As described in section I, the Hluhluwe Park and the Hluhluwe River dialects are separated just by the river which sometimes dries up completely. Although the birds come down to the banks on both sides, they were extremely reluctant to cross the river and did so for just a few minutes. The road separating Charter’s Creek and South Maputaland dialects is a human artifact. Why these structures function as boundaries is unknown; similarly mysterious dialect boundaries are known from other bird species as well (see e.g. Sick, 1939; Kroodsma, 1974). But massive landscape fragmentation likely caused severe fragmentation of the once continuous forest weaver population. Thereby, we think, an originally mixed distribution of pair-specific and family-specific traditive song types turned into locally segregated vocal dialects. We take this as an example of a human impact on an animal protoculture.” (Seibt et al. 2002)",seibt2002,700032,38
Howard dialect caciques vocal dialect,"Males sing in ""nesting colonies of up to 100 nests in a single tree...all adult male members of a colony shared the same set of 5 to 8 song types...defined cacique dialects as systems of shared songs in which all song types were shared among all males in an area. Although most colonies corresponded to one dialect, Howard dialect ""contained four colonies that shared all song types, although usually only two colonies were active at any one time. The distances between simultaneously active colonies in this area were from 0.5 to 2.0 km."" (Trainer 1989)",trainer1989,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,yes,"""Two phenomena contributed to the maintenance of uniformity within colonies: the adoption of local song types by dispersing males, and the conformity among individuals in the gradual changes that occurred in songs"". Males would adopt completely dialect of new colony after dispersal and did not retain any elements from previous colony",trainer1989,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,,trainer1989,not searched,not searched,700033,39
Israeli cypress population pinecone stripping,"Method to feed on pine seeds, which based on field and lab observation this is the sole food these rats feed on. Rats choose a cone, gnaws it from the branch, carries it away, and strips it in a stereotyped and efficient manner. Unclear exact start and end dates first observation of behavior was in 1981 and study published in 1995 (Terkel 1995)",terkel1995,1981,1995,maybe,"in lab study, only condition where stripping was learned by lab-raised pups from knowledgable mothers or foster mothers. “when the element of social influence was added (the presence of a stripping mother), the number of pups that learned to open the cones increased significantly to almost 100%. As the pups remain with the mother for a limited period of time only, it would seem that the learning process cannot be delayed much beyond weaning, as the maternal influence is the only chance that they have to acquire this complex feeding technique that is so vital to their survival in the pine forest” (Terkel 1995)",terkel1995,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,terkel1995,not searched,not searched,700034,40
Israeli pine cone population pinecone stripping,"Method to feed on pine seeds, which based on field and lab observation this is the sole food these rats feed on. Rats choose a cone, gnaws it from the branch, carries it away, and strips it in a stereotyped and efficient manner. Unclear exact start and end dates first observation of behavior was in 1981 and study published in 1995 (Terkel 1995)",terkel1995,1981,1995,maybe,"in lab study, only condition where stripping was learned by lab-raised pups from knowledgable mothers or foster mothers. “when the element of social influence was added (the presence of a stripping mother), the number of pups that learned to open the cones increased significantly to almost 100%. As the pups remain with the mother for a limited period of time only, it would seem that the learning process cannot be delayed much beyond weaning, as the maternal influence is the only chance that they have to acquire this complex feeding technique that is so vital to their survival in the pine forest” (Terkel 1995)",terkel1995,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,terkel1995,not searched,not searched,700035,41
Istállós-kői-cave foraging tits bat hunting,"Tits foraging in this cave during the winter recorded yearly as hunting for bats. In this study, ""upon playbacks of calls from awakening bats, many tits approached and inspected the loudspeaker. This is evidence that they were able to hear and localize the bat calls, even though the frequency with maximum energy (table 1) was above their upper hearing limit (Langemann et al. 1998). Thus, tits could eavesdrop on awakening calls to find bats in crevices...The tits in our study were not marked; however, we are certain that several, if not many, individuals foraged for bats. This raises the question of whether cultural transmission plays a role for the spread of this foraging innovation, as was the case for the famous blue tits (Cyanistes caeruleus) in the British Isles that learned to open milk bottles"" (Estok et al. 2010)",estok2010,1995,2006,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,estok2010,not searched,not searched,700036,42
Jurubeba group stick and stone tool use,"""we recorded 677 tool use episodes. Five hundred and seventeen of these involved the use of stones, and 160 involved the use of sticks (or other plant parts) as probes to access water, arthropods, or the contents of insects’ nests. Stones were mostly used as ‘‘hammers’’—not only to open fruit or seeds, or smash other food items, but also to break dead wood, conglomerate rock, or cement in search of arthropods, to dislodge bigger stones, and to pulverize embedded quartz pebbles (licking, sniffing, or rubbing the body with the powder produced). Stones also were used in a ‘‘hammerlike’’ fashion to loosen the soil for digging out roots and arthropods, and sometimes as ‘‘hoes’’ to pull the loosened soil."" (Mannu & Ottoni 2009)",mannu2009,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,mannu2009,not searched,not searched,700037,43
K19 acoustic clan discrete calls,"Pulsed calls that are one of the vocalizations produced by killer whales alongside whistles and echolocation. ""Most killer whale pulsed signals fall into discrete call types with higher or lesser variability inside them (Ford 1984)....The fact that all of the discrete calls of Southeast Kamchatka resident killer whales can be divided into several distinctive structural classes suggests that they have some rules defining the structure of the calls. These rules are not common for killer whales as a whole. For example, calls of transient killer whales from Southeast Kamchatka and killer whales from Sakhalin region do not obey these rules. Thus these rules are presumably the cultural tradition of Southeast Kamchatka resident killer whales...The acoustic markers of community membership - in the case of Southeast Kamchatka killer whales, with phonotactics - could help prevent the division of the community and, hence, a loss of potential mates if we assume that ""vocal tradition"" is a cultural tradition applied to vocal behaviour, then, to a great extent, all resident killer whales from Southeast Kamchatka share the same vocal tradition. Still, some of them share no call types, and, following Ford's (1991) definition of ""clan"", belong to different clans."" (Filatova et al. 2007). ""Biph l class calls of K19 clan include three call types (Table 3). To date we recognize only two pods in this clan ~ Gera pod and Zorro pod. K19 and K22 types are produced by Zorro pod, and K33 type is typical for Gera pod"" (Filatova et al. 2007, p. 271).",filatova2007,2001,2006,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,,filatova2007,not searched,not searched,700038,44
K20 acoustic clan discrete calls,"Pulsed calls that are one of the vocalizations produced by killer whales alongside whistles and echolocation. K20 has one pod, with the 'Biph l class call' typical for this pod. ""Most killer whale pulsed signals fall into discrete call types with higher or lesser variability inside them (Ford 1984)....The fact that all of the discrete calls of Southeast Kamchatka resident killer whales can be divided into several distinctive structural classes suggests that they have some rules defining the structure of the calls. These rules are not common for killer whales as a whole. For example, calls of transient killer whales from Southeast Kamchatka and killer whales from Sakhalin region do not obey these rules. Thus these rules are presumably the cultural tradition of Southeast Kamchatka resident killer whales...The acoustic markers of community membership - in the case of Southeast Kamchatka killer whales, with phonotactics - could help prevent the division of the community and, hence, a loss of potential mates if we assume that ""vocal tradition"" is a cultural tradition applied to vocal behaviour, then, to a great extent, all resident killer whales from Southeast Kamchatka share the same vocal tradition. Still, some of them share no call types, and, following Ford's (1991) definition of ""clan"", belong to different clans."" (Filatova et al. 2007, p. 271).",filatova2007,2001,2006,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,,filatova2007,not searched,not searched,700039,45
Karisoke gorilla groups adult female grooming,grooming among adults females rarely observed at western gorilla sites but customary for both mountain gorilla sites (Robbins et al. 2016),robbins2016,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,social,,robbins2016,not searched,not searched,700040,46
Kasekela chimpanzees termite fishing,"Chimpanzees use tools to extract termites from mounds, particularly during October-December. Kasekela tools were on average longer and wider than those of a neighboring Gombe community, Mitumba, and used a greater variety of materials. Differences not explained by availability of raw materials, termite species or mound structure.",pascualgarrido2019,not searched,not searched,yes,"chimpanzee offspring after 1 year of age began observing and attempting to make their own tools, investigate mounds, and eventually learned how to select holes and insert tools correctly by around age 5. male offspring. ""Young female chimpanzees spent more time watching others termite-fish and acquired the termite-fishing skill more quickly than young males."" (Lonsdorf 2005)",lonsdorf2005,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,lonsdorf2005,not searched,not searched,700041,47
Lake Merced dialect white-crowned sparrows song dialect,"""In the Lake Merced region, between the years of 1969/1970 and 1990 the number of individuals singing the LM dialect decreased from 93 to 32 per cent while the individuals singing the SF dialect increased from 2 to 34 per cent."" SF dialect has higher minimum frequency than LM, better adapted to low-frequency urban noise (Luther & Baptista 2010)",luther2010,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,yes,"From 1998 study in San Francisco, male sparrows learn songs of adult neighbors rather than fathers (Bell et al. 1998)",bell1998,vocal communication; mating,,bell1998,"""Urban noise, which is louder at low frequencies, increased during our study period and therefore should have created a selection pressure for songs with higher frequencies. We found that the minimum frequency of songs increased both within and between dialects during the 30-year time span...We suggest that the observed change occurred as a result of more efficient transmission of songs with higher frequencies in an urban environment"" (Luther & Baptista 2010)",luther2010,700042,48
Lee Martinez Park (LMP) black-capped chickadees gargle call,"""The gargle has a considerably more complex acoustic structure than the more commonly heard ‘chick-a-dee’ flock call and the whistle-like ‘fee-bee’ territorial song of this species and differs in function as well ( Ficken et al. 1978; Hailman 1989). The call is about 0.5 s in duration, composed of a sequence of discrete syllables, and may be delivered in conjunction with a display posture. Each bird has a repertoire of different gargles, and the size of the repertoire varies among individuals...the gargle call is uttered year round, primarily in the context of agonistic encounters between individuals in close proximity, such as contests over food (Baker et al. 1991)"" (Baker et al. 2000)",baker2000,1996,1998,unclear,"""We conclude that the gargle call of black-capped chickadees exhibits significant differentiation at the three sampling locations along a corridor of riparian habitat occupied by an uninterrupted population of the species. Quantitative values of an index of sharing revealed significantly higher levels of sharing among birds within sites than between sites…In examining the geographical patterning of the acoustic units from which the whole gargle calls are constructed, the syllables, we again found, for all three locations, significantly greater sharing within a sample area than between that sample area and either of the other two."" (Baker et al. 2000)",baker2000,unclear,"""We conclude that the gargle call of black-capped chickadees exhibits significant differentiation at the three sampling locations along a corridor of riparian habitat occupied by an uninterrupted population of the species. Quantitative values of an index of sharing revealed significantly higher levels of sharing among birds within sites than between sites…In examining the geographical patterning of the acoustic units from which the whole gargle calls are constructed, the syllables, we again found, for all three locations, significantly greater sharing within a sample area than between that sample area and either of the other two."" (Baker et al. 2000)",baker2000,unclear,"""We conclude that the gargle call of black-capped chickadees exhibits significant differentiation at the three sampling locations along a corridor of riparian habitat occupied by an uninterrupted population of the species. Quantitative values of an index of sharing revealed significantly higher levels of sharing among birds within sites than between sites…In examining the geographical patterning of the acoustic units from which the whole gargle calls are constructed, the syllables, we again found, for all three locations, significantly greater sharing within a sample area than between that sample area and either of the other two.""",baker2000,vocal communication; social,,baker2000,not searched,not searched,700043,49
Lee Vining dialect brown-headed cowbirds flight whistle dialect,"flight whistles have geographic dialect areas, are used to communicate long distances or to accompany mating. Study tests female preferences for local or foreign dialects. “We present results from two studies. One provides evidence that a learned vocal behavior, namely the ability to give the correct local flight whistle dialect, could be a proximate cue used by female cowbirds in mate choice. The second demonstrates that the majority of yearling males in these dialects are distinguishable from adults by their failure to produce a complete rendition of the local flight whistle dialect.” “There is convincing evidence that female cowbirds in our study area disperse and breed in non-natal areas (Fleischer and Rothstein 1988; Fleischer et al. 1991). Females return from wintering to the breeding ranges later than males and they hear and interact with males from other local dialects, at least at the beginning of the breeding season (Yokel 1986a). Thus, females in this study were likely to have had contact with males from more than one dialect. Nevertheless, all test females that showed discrimination explicitly favored the dialect type of the area in which they were trapped during the breeding season.” females responded significantly more to flight whistles of their home dialect than to foreign ones, likely process of mate selection (O'Loghlen & Rothstein 1995)",ologhlen1995,1991,1991,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,maybe,"""young cowbirds may have little or no opportunity to learn the breeding vocalizations of local adults... In a process analogous to that which occurs in male song learning in these dialects (Rothstein and Fleischer 1987; O'Loghlen and Rothstein 1993), yearling females may acquire their vocal preferences by learning to recognize the prevailing song type in the area in which they attempt to breed. "" (O'Loghlen & Rothstein 1995)",ologhlen1995,vocal communication; mating,,ologhlen1995,not searched,not searched,700044,50
Lomako bonobos forage wade,"""Forage wade. During the dry season, males and females of all ages walk quadrupedally along streambeds for up to an hour, stopping now and then to search through the matrix of rotten leaves and soil for insect larvae and small Crustacea. The depth of these streams averages about 20 cm, and where deeper pools occur the bonobos cross them by climbing into trees."" (Hohmann & Fruth 2003)",hohmannfruth2003,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,hohmannfruth2003,not searched,not searched,700045,51
Lomako bonobos duiker hunting,"""Duiker chase. Bonobos of both sexes occasionally lunge at a duiker (Cephalophus sp.), but only females are seen to inspect hollows and spaces between large buttress roots where duikers are likely to rest during the day. Twice a female was seen to catch a hidden duiker. When duikers are caught by bonobos (N p 9 cases), the prey is divided among mature party members."" Authors classify behavior as customary, and not observed at a neighboring bonobo community (Wamba) (Hohmann & Fruth 2003)",hohmannfruth2003,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,hohmannfruth2003,not searched,not searched,700045,52
Lomako bonobos leaf cover,"""Leaf cover. Having constructed an overnight nest, the bonobo covers the ventrum of its body with several leafy twigs. The leaf-cover pattern is common during the rainy season and seems to serve as temperature regulation."" (Hohmann & Fruth 2003)",hohmannfruth2003,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,architecture,,hohmannfruth2003,not searched,not searched,700045,53
Lomako bonobos food rub,"""Food rub. When eating fruit found on the ground (e.g., Irvingia, Autranella, Gambeya), an individual may take a fruit, hold it in the palm of one hand, and wipe the surface with the palm (or occasionally the back) of the other hand. This treatment seems to clean the surface of fruits chosen as food. Mature and immature males and females show this pattern"" (Hohmann & Fruth 2003)",hohmannfruth2003,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,hohmannfruth2003,not searched,not searched,700045,54
